#miRNA	read_count	precursor	total	red_50_bl4	red_50_bl2	walton_15_bl2	walton_50_bl5	walton_50_bl1	walton_50_bl3	walton_15_bl3	walton_50_bl2	walton_15_bl1	red_15_bl1	red_15_bl2	red_50_bl3	walton_15_bl6	red_15_bl3	red_15_bl4	no_plant_15_bl3	red_50_bl5	red_50_bl1	no_plant_50_bl6	no_plant_15_bl4	walton_50_bl4	no_plant_50_bl2	no_plant_15_bl6	no_plant_15_bl2	no_plant_15_bl5	no_plant_15_bl1	walton_15_bl5	red_50_bl6	no_plant_50_bl5	no_plant_50_bl4	walton_50_bl6	walton_15_bl4	no_plant_50_bl3	no_plant_50_bl1	red_15_bl6	red_15_bl5	red_50_bl4(norm)	red_50_bl2(norm)	walton_15_bl2(norm)	walton_50_bl5(norm)	walton_50_bl1(norm)	walton_50_bl3(norm)	walton_15_bl3(norm)	walton_50_bl2(norm)	walton_15_bl1(norm)	red_15_bl1(norm)	red_15_bl2(norm)	red_50_bl3(norm)	walton_15_bl6(norm)	red_15_bl3(norm)	red_15_bl4(norm)	no_plant_15_bl3(norm)	red_50_bl5(norm)	red_50_bl1(norm)	no_plant_50_bl6(norm)	no_plant_15_bl4(norm)	walton_50_bl4(norm)	no_plant_50_bl2(norm)	no_plant_15_bl6(norm)	no_plant_15_bl2(norm)	no_plant_15_bl5(norm)	no_plant_15_bl1(norm)	walton_15_bl5(norm)	red_50_bl6(norm)	no_plant_50_bl5(norm)	no_plant_50_bl4(norm)	walton_50_bl6(norm)	walton_15_bl4(norm)	no_plant_50_bl3(norm)	no_plant_50_bl1(norm)	red_15_bl6(norm)	red_15_bl5(norm)
read184570_x12__NC_057814.1_27__497236861..497236881__497236861..497237014_minus_mature	45.00	read184570_x12__NC_057814.1_27__497236861..497236881__497236861..497237014_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read208941_x11__NC_057800.1_49__140723878..140723897__140723878..140724050_minus_mature	8.00	read208941_x11__NC_057800.1_49__140723878..140723897__140723878..140724050_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read208941_x11__NC_057801.1_46__186142777..186142796__186142777..186142950_minus_mature	8.00	read208941_x11__NC_057801.1_46__186142777..186142796__186142777..186142950_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read208941_x11__NC_057802.1_30__123239880..123239899__123239880..123240052_minus_mature	8.00	read208941_x11__NC_057802.1_30__123239880..123239899__123239880..123240052_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read208941_x11__NC_057812.1_30__598685172..598685191__598685172..598685344_minus_mature	8.00	read208941_x11__NC_057812.1_30__598685172..598685191__598685172..598685344_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read2150_x259__NC_057810.1_21__327108141..327108160__327108141..327108392_minus_mature	2050.00	read2150_x259__NC_057810.1_21__327108141..327108160__327108141..327108392_minus	2050.00	162.00	0	1.00	11.00	0	0	16.00	0	3.00	3.00	0	34.00	12.00	3.00	7.00	5.00	2.00	239.00	9.00	7.00	536.00	12.00	1.00	8.00	4.00	1.00	3.00	1.00	0	68.00	22.00	22.00	56.00	800.00	0	2.00	52872.06	0	1251.56	5483.55	0	0	30245.75	0	6012.02	4622.50	0	20706.46	19639.93	2540.22	4968.06	5524.86	3350.08	198340.25	2548.13	13698.63	194626.00	6553.80	11904.76	15122.87	10362.69	2207.51	5769.23	890.47	0	74889.87	6510.80	19981.83	80229.23	626959.25	0	3344.48
read22849_x59__NC_057800.1_2__14041266..14041286__14041120..14041286_plus_mature	202.00	read22849_x59__NC_057800.1_2__14041266..14041286__14041120..14041286_plus	202.00	3.00	2.00	12.00	2.00	14.00	0	8.00	2.00	15.00	22.00	3.00	18.00	15.00	11.00	27.00	0	1.00	13.00	0	0	0	0	0	0	0	0	1.00	0	0	0	10.00	7.00	0	0	3.00	13.00	979.11	3676.47	15018.77	997.01	10279.00	0	15122.87	819.00	30060.12	33898.31	4470.94	10962.24	24549.92	9314.14	19162.53	0	1675.04	10788.38	0	0	0	0	0	0	0	0	1923.08	0	0	0	2959.46	6357.86	0	0	5328.60	21739.13
read22849_x59__NC_057801.1_68__12799151..12799171__12799151..12799321_minus_mature	202.00	read22849_x59__NC_057801.1_68__12799151..12799171__12799151..12799321_minus	202.00	3.00	2.00	12.00	2.00	14.00	0	8.00	2.00	15.00	22.00	3.00	18.00	15.00	11.00	27.00	0	1.00	13.00	0	0	0	0	0	0	0	0	1.00	0	0	0	10.00	7.00	0	0	3.00	13.00	979.11	3676.47	15018.77	997.01	10279.00	0	15122.87	819.00	30060.12	33898.31	4470.94	10962.24	24549.92	9314.14	19162.53	0	1675.04	10788.38	0	0	0	0	0	0	0	0	1923.08	0	0	0	2959.46	6357.86	0	0	5328.60	21739.13
read22849_x59__NC_057802.1_48__6524965..6524985__6524965..6525135_minus_mature	202.00	read22849_x59__NC_057802.1_48__6524965..6524985__6524965..6525135_minus	202.00	3.00	2.00	12.00	2.00	14.00	0	8.00	2.00	15.00	22.00	3.00	18.00	15.00	11.00	27.00	0	1.00	13.00	0	0	0	0	0	0	0	0	1.00	0	0	0	10.00	7.00	0	0	3.00	13.00	979.11	3676.47	15018.77	997.01	10279.00	0	15122.87	819.00	30060.12	33898.31	4470.94	10962.24	24549.92	9314.14	19162.53	0	1675.04	10788.38	0	0	0	0	0	0	0	0	1923.08	0	0	0	2959.46	6357.86	0	0	5328.60	21739.13
read22849_x59__NC_057803.1_16__613559954..613559974__613559803..613559974_plus_mature	2.00	read22849_x59__NC_057803.1_16__613559954..613559974__613559803..613559974_plus	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540.83	0	0	0	846.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read22849_x59__NC_057808.1_28__557751716..557751736__557751716..557751887_minus_mature	2.00	read22849_x59__NC_057808.1_28__557751716..557751736__557751716..557751887_minus	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1540.83	0	0	0	846.74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read2400_x256__NC_057795.1_33__524181097..524181116__524181042..524181116_plus_mature	1369.00	read2400_x256__NC_057795.1_33__524181097..524181116__524181042..524181116_plus	1369.00	6.00	20.00	75.00	4.00	20.00	5.00	18.00	5.00	55.00	26.00	160.00	1.00	34.00	46.00	29.00	249.00	24.00	15.00	11.00	99.00	10.00	11.00	25.00	63.00	56.00	46.00	76.00	6.00	14.00	9.00	9.00	31.00	15.00	10.00	39.00	47.00	1958.22	36764.71	93867.33	1994.02	14684.29	7886.44	34026.47	2047.50	110220.44	40061.63	238450.07	609.01	55646.48	38950.04	20581.97	275138.12	40201.01	12448.13	3114.38	193737.77	3631.08	6007.65	297619.05	119092.63	145077.72	101545.25	146153.85	5342.83	30837.00	9911.89	2663.51	28156.22	21489.97	7836.99	69271.76	78595.32
read311376_x8__NC_057800.1_44__658412834..658412854__658412834..658412907_minus_mature	12.00	read311376_x8__NC_057800.1_44__658412834..658412854__658412834..658412907_minus	12.00	0	0	2.00	1.00	0	0	1.00	0	1.00	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	0	2503.13	498.50	0	0	1890.36	0	2004.01	0	0	0	3273.32	0	1419.45	0	0	0	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	0	1672.24
read311376_x8__NC_057801.1_35__705187839..705187859__705187839..705187922_minus_mature	12.00	read311376_x8__NC_057801.1_35__705187839..705187859__705187839..705187922_minus	12.00	0	0	2.00	1.00	0	0	1.00	0	1.00	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	0	2503.13	498.50	0	0	1890.36	0	2004.01	0	0	0	3273.32	0	1419.45	0	0	0	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	0	1672.24
read311376_x8__NC_057802.1_23__524085561..524085581__524085561..524085628_minus_mature	12.00	read311376_x8__NC_057802.1_23__524085561..524085581__524085561..524085628_minus	12.00	0	0	2.00	1.00	0	0	1.00	0	1.00	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	0	2503.13	498.50	0	0	1890.36	0	2004.01	0	0	0	3273.32	0	1419.45	0	0	0	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	0	1672.24
read311376_x8__NC_057802.1_25__523968215..523968235__523968215..523968298_minus_mature	12.00	read311376_x8__NC_057802.1_25__523968215..523968235__523968215..523968298_minus	12.00	0	0	2.00	1.00	0	0	1.00	0	1.00	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	0	1.00	0	0	2503.13	498.50	0	0	1890.36	0	2004.01	0	0	0	3273.32	0	1419.45	0	0	0	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	0	1672.24
read31190_x48__NC_057802.1_20__577151602..577151623__577151465..577151623_minus_mature	126.00	read31190_x48__NC_057802.1_20__577151602..577151623__577151465..577151623_minus	126.00	4.00	1.00	6.00	6.00	8.00	5.00	5.00	4.00	6.00	5.00	0	16.00	8.00	2.00	16.00	0	1.00	5.00	0	0	8.00	0	0	0	0	0	4.00	2.00	0	0	8.00	3.00	0	0	1.00	2.00	1305.48	1838.24	7509.39	2991.03	5873.72	7886.44	9451.80	1638.00	12024.05	7704.16	0	9744.21	13093.29	1693.48	11355.57	0	1675.04	4149.38	0	0	2904.87	0	0	0	0	0	7692.31	1780.94	0	0	2367.56	2724.80	0	0	1776.20	3344.48
read3172859_x2__NC_057813.1_22__744296015..744296036__744296015..744296094_minus_mature	6.00	read3172859_x2__NC_057813.1_22__744296015..744296036__744296015..744296094_minus	6.00	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	979.11	0	0	0	0	0	0	0	0	0	0	0	0	0	709.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591.89	0	0	0	0	0
read330262_x8__NC_057809.1_4__56670205..56670225__56670205..56670272_plus_mature	42.00	read330262_x8__NC_057809.1_4__56670205..56670225__56670205..56670272_plus	42.00	3.00	0	3.00	1.00	3.00	2.00	0	0	1.00	1.00	1.00	10.00	0	2.00	3.00	0	2.00	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	1.00	979.11	0	3754.69	498.50	2202.64	3154.57	0	0	2004.01	1540.83	1490.31	6090.13	0	1693.48	2129.17	0	3350.08	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	1183.78	0	0	0	0	1672.24
read330262_x8__NC_057810.1_50__109033164..109033184__109033117..109033184_minus_mature	42.00	read330262_x8__NC_057810.1_50__109033164..109033184__109033117..109033184_minus	42.00	3.00	0	3.00	1.00	3.00	2.00	0	0	1.00	1.00	1.00	10.00	0	2.00	3.00	0	2.00	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	1.00	979.11	0	3754.69	498.50	2202.64	3154.57	0	0	2004.01	1540.83	1490.31	6090.13	0	1693.48	2129.17	0	3350.08	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	1183.78	0	0	0	0	1672.24
read330262_x8__NC_057811.1_4__64801448..64801468__64801448..64801515_plus_mature	42.00	read330262_x8__NC_057811.1_4__64801448..64801468__64801448..64801515_plus	42.00	3.00	0	3.00	1.00	3.00	2.00	0	0	1.00	1.00	1.00	10.00	0	2.00	3.00	0	2.00	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	1.00	979.11	0	3754.69	498.50	2202.64	3154.57	0	0	2004.01	1540.83	1490.31	6090.13	0	1693.48	2129.17	0	3350.08	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	1183.78	0	0	0	0	1672.24
read36094_x43__NC_057802.1_18__577151602..577151623__577151465..577151623_minus_mature	126.00	read36094_x43__NC_057802.1_18__577151602..577151623__577151465..577151623_minus	126.00	4.00	1.00	6.00	6.00	8.00	5.00	5.00	4.00	6.00	5.00	0	16.00	8.00	2.00	16.00	0	1.00	5.00	0	0	8.00	0	0	0	0	0	4.00	2.00	0	0	8.00	3.00	0	0	1.00	2.00	1305.48	1838.24	7509.39	2991.03	5873.72	7886.44	9451.80	1638.00	12024.05	7704.16	0	9744.21	13093.29	1693.48	11355.57	0	1675.04	4149.38	0	0	2904.87	0	0	0	0	0	7692.31	1780.94	0	0	2367.56	2724.80	0	0	1776.20	3344.48
read365666_x7__NC_057800.1_53__140723877..140723896__140723877..140724051_minus_mature	8.00	read365666_x7__NC_057800.1_53__140723877..140723896__140723877..140724051_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read365666_x7__NC_057801.1_54__186142776..186142795__186142776..186142951_minus_mature	8.00	read365666_x7__NC_057801.1_54__186142776..186142795__186142776..186142951_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read365666_x7__NC_057802.1_34__123239879..123239898__123239879..123240053_minus_mature	8.00	read365666_x7__NC_057802.1_34__123239879..123239898__123239879..123240053_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read365666_x7__NC_057812.1_38__598685171..598685190__598685171..598685345_minus_mature	8.00	read365666_x7__NC_057812.1_38__598685171..598685190__598685171..598685345_minus	8.00	0	1.00	2.00	0	1.00	0	1.00	0	0	0	0	0	0	1.00	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	1838.24	2503.13	0	734.21	0	1890.36	0	0	0	0	0	0	846.74	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	908.27	0	0	0	0
read404870_x7__NC_057800.1_6__76933959..76933979__76933892..76933979_plus_mature	10.00	read404870_x7__NC_057800.1_6__76933959..76933979__76933892..76933979_plus	10.00	0	0	0	1.00	3.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	498.50	2202.64	0	0	0	4008.02	1540.83	0	609.01	0	0	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	0
read404870_x7__NC_057801.1_63__121103021..121103041__121103021..121103108_minus_mature	10.00	read404870_x7__NC_057801.1_63__121103021..121103041__121103021..121103108_minus	10.00	0	0	0	1.00	3.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	498.50	2202.64	0	0	0	4008.02	1540.83	0	609.01	0	0	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	0
read404870_x7__NC_057802.1_41__65726658..65726678__65726658..65726745_minus_mature	10.00	read404870_x7__NC_057802.1_41__65726658..65726678__65726658..65726745_minus	10.00	0	0	0	1.00	3.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	498.50	2202.64	0	0	0	4008.02	1540.83	0	609.01	0	0	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	0
read404870_x7__NC_057806.1_35__440647120..440647140__440647120..440647233_minus_mature	10.00	read404870_x7__NC_057806.1_35__440647120..440647140__440647120..440647233_minus	10.00	0	0	0	1.00	3.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	498.50	2202.64	0	0	0	4008.02	1540.83	0	609.01	0	0	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	0
read404870_x7__NC_057807.1_24__401363583..401363603__401363583..401363694_minus_mature	10.00	read404870_x7__NC_057807.1_24__401363583..401363603__401363583..401363694_minus	10.00	0	0	0	1.00	3.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	498.50	2202.64	0	0	0	4008.02	1540.83	0	609.01	0	0	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	0
read404870_x7__NC_057808.1_50__342353224..342353244__342353224..342353337_minus_mature	10.00	read404870_x7__NC_057808.1_50__342353224..342353244__342353224..342353337_minus	10.00	0	0	0	1.00	3.00	0	0	0	2.00	1.00	0	1.00	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	0	0	0	0	498.50	2202.64	0	0	0	4008.02	1540.83	0	609.01	0	0	0	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	0
read448870_x6__NC_057804.1_24__612239804..612239824__612239804..612239889_plus_mature	23.00	read448870_x6__NC_057804.1_24__612239804..612239824__612239804..612239889_plus	23.00	2.00	0	4.00	0	1.00	0	0	0	1.00	0	0	1.00	4.00	0	0	0	0	1.00	0	0	0	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	3.00	2.00	652.74	0	5006.26	0	734.21	0	0	0	2004.01	0	0	609.01	6546.64	0	0	0	0	829.88	0	0	0	0	0	0	5181.35	0	3846.15	0	0	0	0	0	0	0	5328.60	3344.48
read448870_x6__NC_057805.1_16__483306345..483306365__483306345..483306430_plus_mature	23.00	read448870_x6__NC_057805.1_16__483306345..483306365__483306345..483306430_plus	23.00	2.00	0	4.00	0	1.00	0	0	0	1.00	0	0	1.00	4.00	0	0	0	0	1.00	0	0	0	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	3.00	2.00	652.74	0	5006.26	0	734.21	0	0	0	2004.01	0	0	609.01	6546.64	0	0	0	0	829.88	0	0	0	0	0	0	5181.35	0	3846.15	0	0	0	0	0	0	0	5328.60	3344.48
read448870_x6__NC_057806.1_16__664902147..664902167__664902147..664902229_plus_mature	23.00	read448870_x6__NC_057806.1_16__664902147..664902167__664902147..664902229_plus	23.00	2.00	0	4.00	0	1.00	0	0	0	1.00	0	0	1.00	4.00	0	0	0	0	1.00	0	0	0	0	0	0	2.00	0	2.00	0	0	0	0	0	0	0	3.00	2.00	652.74	0	5006.26	0	734.21	0	0	0	2004.01	0	0	609.01	6546.64	0	0	0	0	829.88	0	0	0	0	0	0	5181.35	0	3846.15	0	0	0	0	0	0	0	5328.60	3344.48
read553424_x5__NC_057796.1_28__492392106..492392127__492392074..492392127_minus_mature	18.00	read553424_x5__NC_057796.1_28__492392106..492392127__492392074..492392127_minus	18.00	3.00	0	0	1.00	2.00	1.00	0	0	0	0	0	1.00	1.00	0	1.00	0	2.00	4.00	0	0	0	0	0	0	0	0	0	1.00	0	0	1.00	0	0	0	0	0	979.11	0	0	498.50	1468.43	1577.29	0	0	0	0	0	609.01	1636.66	0	709.72	0	3350.08	3319.50	0	0	0	0	0	0	0	0	0	890.47	0	0	295.95	0	0	0	0	0
read553424_x5__NC_057796.1_32__462914048..462914069__462914020..462914069_minus_mature	34.00	read553424_x5__NC_057796.1_32__462914048..462914069__462914020..462914069_minus	34.00	6.00	0	0	3.00	2.00	2.00	0	1.00	1.00	0	0	5.00	0	0	2.00	0	0	6.00	0	0	0	0	0	0	0	0	0	4.00	0	0	2.00	0	0	0	0	0	1958.22	0	0	1495.51	1468.43	3154.57	0	409.50	2004.01	0	0	3045.07	0	0	1419.45	0	0	4979.25	0	0	0	0	0	0	0	0	0	3561.89	0	0	591.89	0	0	0	0	0
read590544_x5__NC_057796.1_26__492635591..492635612__492635565..492635612_minus_mature	13.00	read590544_x5__NC_057796.1_26__492635591..492635612__492635565..492635612_minus	13.00	0	0	0	1.00	2.00	0	0	4.00	0	0	0	3.00	0	0	0	0	1.00	2.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498.50	1468.43	0	0	1638.00	0	0	0	1827.04	0	0	0	0	1675.04	1659.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read616847_x5__NC_057809.1_41__109739613..109739633__109739564..109739633_minus_mature	8.00	read616847_x5__NC_057809.1_41__109739613..109739633__109739564..109739633_minus	8.00	0	3.00	0	0	0	0	0	0	2.00	0	0	0	0	0	2.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5514.71	0	0	0	0	0	0	4008.02	0	0	0	0	0	1419.45	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read616847_x5__NC_057810.1_48__175155659..175155679__175155609..175155679_minus_mature	8.00	read616847_x5__NC_057810.1_48__175155659..175155679__175155609..175155679_minus	8.00	0	3.00	0	0	0	0	0	0	2.00	0	0	0	0	0	2.00	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5514.71	0	0	0	0	0	0	4008.02	0	0	0	0	0	1419.45	0	0	829.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
