#miRNA	read_count	precursor	total	red_50_bl4	red_50_bl2	walton_15_bl2	walton_50_bl5	walton_50_bl1	walton_50_bl3	walton_15_bl3	walton_50_bl2	walton_15_bl1	red_15_bl1	red_15_bl2	red_50_bl3	walton_15_bl6	red_15_bl3	red_15_bl4	no_plant_15_bl3	red_50_bl5	red_50_bl1	no_plant_50_bl6	no_plant_15_bl4	walton_50_bl4	no_plant_50_bl2	no_plant_15_bl6	no_plant_15_bl2	no_plant_15_bl5	no_plant_15_bl1	walton_15_bl5	red_50_bl6	no_plant_50_bl5	no_plant_50_bl4	walton_50_bl6	walton_15_bl4	no_plant_50_bl3	no_plant_50_bl1	red_15_bl6	red_15_bl5	red_50_bl4(norm)	red_50_bl2(norm)	walton_15_bl2(norm)	walton_50_bl5(norm)	walton_50_bl1(norm)	walton_50_bl3(norm)	walton_15_bl3(norm)	walton_50_bl2(norm)	walton_15_bl1(norm)	red_15_bl1(norm)	red_15_bl2(norm)	red_50_bl3(norm)	walton_15_bl6(norm)	red_15_bl3(norm)	red_15_bl4(norm)	no_plant_15_bl3(norm)	red_50_bl5(norm)	red_50_bl1(norm)	no_plant_50_bl6(norm)	no_plant_15_bl4(norm)	walton_50_bl4(norm)	no_plant_50_bl2(norm)	no_plant_15_bl6(norm)	no_plant_15_bl2(norm)	no_plant_15_bl5(norm)	no_plant_15_bl1(norm)	walton_15_bl5(norm)	red_50_bl6(norm)	no_plant_50_bl5(norm)	no_plant_50_bl4(norm)	walton_50_bl6(norm)	walton_15_bl4(norm)	no_plant_50_bl3(norm)	no_plant_50_bl1(norm)	red_15_bl6(norm)	red_15_bl5(norm)
read62117_x29__NC_057809.1_40__115429641..115429661__115429641..115429718_minus_mature	139.00	read62117_x29__NC_057809.1_40__115429641..115429661__115429641..115429718_minus	139.00	0	3.00	3.00	3.00	9.00	4.00	0	0	7.00	6.00	1.00	31.00	0	7.00	8.00	0	5.00	18.00	0	0	0	0	0	0	0	0	3.00	4.00	0	0	5.00	6.00	0	0	7.00	9.00	0	5514.71	3754.69	1495.51	6607.93	6309.15	0	0	14028.06	9244.99	1490.31	18879.42	0	5927.18	5677.79	0	8375.21	14937.76	0	0	0	0	0	0	0	0	5769.23	3561.89	0	0	1479.73	5449.59	0	0	12433.39	15050.17
read62117_x29__NC_057810.1_45__183024808..183024828__183024808..183024885_minus_mature	139.00	read62117_x29__NC_057810.1_45__183024808..183024828__183024808..183024885_minus	139.00	0	3.00	3.00	3.00	9.00	4.00	0	0	7.00	6.00	1.00	31.00	0	7.00	8.00	0	5.00	18.00	0	0	0	0	0	0	0	0	3.00	4.00	0	0	5.00	6.00	0	0	7.00	9.00	0	5514.71	3754.69	1495.51	6607.93	6309.15	0	0	14028.06	9244.99	1490.31	18879.42	0	5927.18	5677.79	0	8375.21	14937.76	0	0	0	0	0	0	0	0	5769.23	3561.89	0	0	1479.73	5449.59	0	0	12433.39	15050.17
read62117_x29__NC_057811.1_12__117325186..117325206__117325129..117325206_plus_mature	139.00	read62117_x29__NC_057811.1_12__117325186..117325206__117325129..117325206_plus	139.00	0	3.00	3.00	3.00	9.00	4.00	0	0	7.00	6.00	1.00	31.00	0	7.00	8.00	0	5.00	18.00	0	0	0	0	0	0	0	0	3.00	4.00	0	0	5.00	6.00	0	0	7.00	9.00	0	5514.71	3754.69	1495.51	6607.93	6309.15	0	0	14028.06	9244.99	1490.31	18879.42	0	5927.18	5677.79	0	8375.21	14937.76	0	0	0	0	0	0	0	0	5769.23	3561.89	0	0	1479.73	5449.59	0	0	12433.39	15050.17
read674593_x5__NC_057804.1_22__612239805..612239824__612239805..612239888_plus_mature	10.00	read674593_x5__NC_057804.1_22__612239805..612239824__612239805..612239888_plus	10.00	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	3.00	0	0	0	0	0	734.21	0	0	0	2004.01	0	0	609.01	1636.66	0	0	0	0	829.88	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	5328.60	0
read674593_x5__NC_057805.1_20__483306346..483306365__483306346..483306429_plus_mature	10.00	read674593_x5__NC_057805.1_20__483306346..483306365__483306346..483306429_plus	10.00	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	3.00	0	0	0	0	0	734.21	0	0	0	2004.01	0	0	609.01	1636.66	0	0	0	0	829.88	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	5328.60	0
read674593_x5__NC_057806.1_24__664902148..664902167__664902148..664902228_plus_mature	10.00	read674593_x5__NC_057806.1_24__664902148..664902167__664902148..664902228_plus	10.00	0	0	0	0	1.00	0	0	0	1.00	0	0	1.00	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	2.00	0	0	0	0	0	0	0	3.00	0	0	0	0	0	734.21	0	0	0	2004.01	0	0	609.01	1636.66	0	0	0	0	829.88	0	0	0	0	0	0	0	0	3846.15	0	0	0	0	0	0	0	5328.60	0
read69445_x26__NC_057803.1_52__19455150..19455171__19455064..19455171_minus_mature	83.00	read69445_x26__NC_057803.1_52__19455150..19455171__19455064..19455171_minus	83.00	9.00	0	3.00	3.00	4.00	2.00	0	2.00	2.00	2.00	0	25.00	4.00	0	3.00	0	2.00	12.00	0	0	2.00	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	3.00	2937.34	0	3754.69	1495.51	2936.86	3154.57	0	819.00	4008.02	3081.66	0	15225.33	6546.64	0	2129.17	0	3350.08	9958.51	0	0	726.22	0	0	0	0	0	0	2671.42	0	0	591.89	0	0	0	0	5016.72
read69445_x26__NC_057805.1_16__447845304..447845325__447845304..447845420_plus_mature	83.00	read69445_x26__NC_057805.1_16__447845304..447845325__447845304..447845420_plus	83.00	9.00	0	3.00	3.00	4.00	2.00	0	2.00	2.00	2.00	0	25.00	4.00	0	3.00	0	2.00	12.00	0	0	2.00	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	3.00	2937.34	0	3754.69	1495.51	2936.86	3154.57	0	819.00	4008.02	3081.66	0	15225.33	6546.64	0	2129.17	0	3350.08	9958.51	0	0	726.22	0	0	0	0	0	0	2671.42	0	0	591.89	0	0	0	0	5016.72
read69445_x26__NC_057806.1_32__582822387..582822408__582822346..582822408_minus_mature	27.00	read69445_x26__NC_057806.1_32__582822387..582822408__582822346..582822408_minus	27.00	4.00	0	3.00	3.00	0	0	0	1.00	1.00	0	0	6.00	1.00	0	1.00	0	0	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	1305.48	0	3754.69	1495.51	0	0	0	409.50	2004.01	0	0	3654.08	1636.66	0	709.72	0	0	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	1672.24
read69445_x26__NC_057806.1_50__55473478..55473499__55473423..55473499_minus_mature	83.00	read69445_x26__NC_057806.1_50__55473478..55473499__55473423..55473499_minus	83.00	9.00	0	3.00	3.00	4.00	2.00	0	2.00	2.00	2.00	0	25.00	4.00	0	3.00	0	2.00	12.00	0	0	2.00	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	3.00	2937.34	0	3754.69	1495.51	2936.86	3154.57	0	819.00	4008.02	3081.66	0	15225.33	6546.64	0	2129.17	0	3350.08	9958.51	0	0	726.22	0	0	0	0	0	0	2671.42	0	0	591.89	0	0	0	0	5016.72
read69445_x26__NC_057807.1_2__67756952..67756973__67756952..67757028_plus_mature	83.00	read69445_x26__NC_057807.1_2__67756952..67756973__67756952..67757028_plus	83.00	9.00	0	3.00	3.00	4.00	2.00	0	2.00	2.00	2.00	0	25.00	4.00	0	3.00	0	2.00	12.00	0	0	2.00	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	3.00	2937.34	0	3754.69	1495.51	2936.86	3154.57	0	819.00	4008.02	3081.66	0	15225.33	6546.64	0	2129.17	0	3350.08	9958.51	0	0	726.22	0	0	0	0	0	0	2671.42	0	0	591.89	0	0	0	0	5016.72
read69445_x26__NC_057807.1_35__569902058..569902079__569902005..569902079_minus_mature	27.00	read69445_x26__NC_057807.1_35__569902058..569902079__569902005..569902079_minus	27.00	4.00	0	3.00	3.00	0	0	0	1.00	1.00	0	0	6.00	1.00	0	1.00	0	0	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	1305.48	0	3754.69	1495.51	0	0	0	409.50	2004.01	0	0	3654.08	1636.66	0	709.72	0	0	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	1672.24
read69445_x26__NC_057808.1_42__463653309..463653330__463653253..463653330_minus_mature	27.00	read69445_x26__NC_057808.1_42__463653309..463653330__463653253..463653330_minus	27.00	4.00	0	3.00	3.00	0	0	0	1.00	1.00	0	0	6.00	1.00	0	1.00	0	0	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	1305.48	0	3754.69	1495.51	0	0	0	409.50	2004.01	0	0	3654.08	1636.66	0	709.72	0	0	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	1672.24
read69445_x26__NC_057808.1_52__63809803..63809824__63809748..63809824_minus_mature	83.00	read69445_x26__NC_057808.1_52__63809803..63809824__63809748..63809824_minus	83.00	9.00	0	3.00	3.00	4.00	2.00	0	2.00	2.00	2.00	0	25.00	4.00	0	3.00	0	2.00	12.00	0	0	2.00	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	3.00	2937.34	0	3754.69	1495.51	2936.86	3154.57	0	819.00	4008.02	3081.66	0	15225.33	6546.64	0	2129.17	0	3350.08	9958.51	0	0	726.22	0	0	0	0	0	0	2671.42	0	0	591.89	0	0	0	0	5016.72
read69445_x26__NC_057809.1_9__152642190..152642211__152642190..152642301_plus_mature	46.00	read69445_x26__NC_057809.1_9__152642190..152642211__152642190..152642301_plus	46.00	9.00	0	3.00	3.00	1.00	1.00	0	2.00	1.00	1.00	0	12.00	4.00	0	0	0	0	5.00	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	2937.34	0	3754.69	1495.51	734.21	1577.29	0	819.00	2004.01	1540.83	0	7308.16	6546.64	0	0	0	0	4149.38	0	0	726.22	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	1672.24
read69445_x26__NC_057810.1_42__220153173..220153194__220153082..220153194_minus_mature	46.00	read69445_x26__NC_057810.1_42__220153173..220153194__220153082..220153194_minus	46.00	9.00	0	3.00	3.00	1.00	1.00	0	2.00	1.00	1.00	0	12.00	4.00	0	0	0	0	5.00	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	2937.34	0	3754.69	1495.51	734.21	1577.29	0	819.00	2004.01	1540.83	0	7308.16	6546.64	0	0	0	0	4149.38	0	0	726.22	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	1672.24
read69445_x26__NC_057811.1_35__143795311..143795332__143795226..143795332_minus_mature	46.00	read69445_x26__NC_057811.1_35__143795311..143795332__143795226..143795332_minus	46.00	9.00	0	3.00	3.00	1.00	1.00	0	2.00	1.00	1.00	0	12.00	4.00	0	0	0	0	5.00	0	0	2.00	0	0	0	0	0	0	0	0	0	1.00	0	0	0	0	1.00	2937.34	0	3754.69	1495.51	734.21	1577.29	0	819.00	2004.01	1540.83	0	7308.16	6546.64	0	0	0	0	4149.38	0	0	726.22	0	0	0	0	0	0	0	0	0	295.95	0	0	0	0	1672.24
read753752_x4__NC_057806.1_22__654033747..654033768__654033747..654033882_plus_mature	35.00	read753752_x4__NC_057806.1_22__654033747..654033768__654033747..654033882_plus	35.00	2.00	0	0	2.00	5.00	4.00	0	1.00	2.00	1.00	0	7.00	3.00	1.00	0	0	0	2.00	0	0	0	0	0	0	0	0	0	3.00	0	0	2.00	0	0	0	0	0	652.74	0	0	997.01	3671.07	6309.15	0	409.50	4008.02	1540.83	0	4263.09	4909.98	846.74	0	0	0	1659.75	0	0	0	0	0	0	0	0	0	2671.42	0	0	591.89	0	0	0	0	0
read762_x495__NC_057798.1_43__376905698..376905717__376905698..376905932_minus_mature	1939.00	read762_x495__NC_057798.1_43__376905698..376905717__376905698..376905932_minus	1939.00	182.00	27.00	0	138.00	70.00	37.00	1.00	186.00	3.00	5.00	1.00	63.00	7.00	4.00	59.00	4.00	37.00	28.00	258.00	1.00	149.00	127.00	0	0	5.00	0	13.00	80.00	30.00	52.00	239.00	38.00	37.00	24.00	19.00	15.00	59399.48	49632.35	0	68793.62	51395.01	58359.62	1890.36	76167.08	6012.02	7704.16	1490.31	38367.84	11456.63	3386.96	41873.67	4419.89	61976.55	23236.51	73046.43	1956.95	54103.12	69361.00	0	0	12953.37	0	25000.00	71237.76	66079.30	57268.72	70730.99	34514.08	53008.60	18808.78	33747.78	25083.61
read762_x495__NC_057807.1_27__290487842..290487861__290487663..290487861_minus_mature	1941.00	read762_x495__NC_057807.1_27__290487842..290487861__290487663..290487861_minus	1941.00	183.00	27.00	0	138.00	70.00	37.00	1.00	185.00	3.00	5.00	1.00	63.00	7.00	4.00	59.00	4.00	37.00	28.00	260.00	1.00	149.00	127.00	0	0	5.00	0	13.00	80.00	30.00	52.00	238.00	38.00	38.00	24.00	19.00	15.00	59725.85	49632.35	0	68793.62	51395.01	58359.62	1890.36	75757.58	6012.02	7704.16	1490.31	38367.84	11456.63	3386.96	41873.67	4419.89	61976.55	23236.51	73612.68	1956.95	54103.12	69361.00	0	0	12953.37	0	25000.00	71237.76	66079.30	57268.72	70435.04	34514.08	54441.26	18808.78	33747.78	25083.61
read762_x495__NC_057813.1_28__549563721..549563740__549563476..549563740_minus_mature	3000.00	read762_x495__NC_057813.1_28__549563721..549563740__549563476..549563740_minus	3000.00	316.00	58.00	2.00	210.00	107.00	57.00	1.00	231.00	10.00	6.00	1.00	95.00	9.00	10.00	78.00	4.00	47.00	63.00	381.00	1.00	261.00	211.00	1.00	0	5.00	0	24.00	106.00	46.00	108.00	329.00	49.00	84.00	47.00	23.00	19.00	103133.16	106617.65	2503.13	104685.94	78560.94	89905.36	1890.36	94594.59	20040.08	9244.99	1490.31	57856.27	14729.95	8467.40	55358.41	4419.89	78726.97	52282.16	107870.89	1956.95	94771.24	115237.58	11904.76	0	12953.37	0	46153.85	94390.03	101321.59	118942.73	97366.08	44505.00	120343.84	36833.86	40852.58	31772.58
read762_x495__NC_057814.1_38__29245438..29245457__29245367..29245457_minus_mature	1938.00	read762_x495__NC_057814.1_38__29245438..29245457__29245367..29245457_minus	1938.00	183.00	27.00	0	138.00	70.00	37.00	1.00	185.00	3.00	5.00	1.00	63.00	7.00	4.00	59.00	4.00	37.00	28.00	258.00	1.00	149.00	127.00	0	0	5.00	0	13.00	80.00	30.00	52.00	238.00	38.00	37.00	24.00	19.00	15.00	59725.85	49632.35	0	68793.62	51395.01	58359.62	1890.36	75757.58	6012.02	7704.16	1490.31	38367.84	11456.63	3386.96	41873.67	4419.89	61976.55	23236.51	73046.43	1956.95	54103.12	69361.00	0	0	12953.37	0	25000.00	71237.76	66079.30	57268.72	70435.04	34514.08	53008.60	18808.78	33747.78	25083.61
read7721433_x1__NC_057814.1_20__633677656..633677676__633677597..633677676_plus_mature	1.00	read7721433_x1__NC_057814.1_20__633677656..633677676__633677597..633677676_plus	1.00	0	0	0	0	1.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	734.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read86722_x22__NC_057794.1_15__327919206..327919226__327919131..327919226_plus_mature	45.00	read86722_x22__NC_057794.1_15__327919206..327919226__327919131..327919226_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057795.1_51__364044174..364044194__364044174..364044269_minus_mature	45.00	read86722_x22__NC_057795.1_51__364044174..364044194__364044174..364044269_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057796.1_17__257227808..257227828__257227733..257227828_plus_mature	45.00	read86722_x22__NC_057796.1_17__257227808..257227828__257227733..257227828_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057803.1_55__16368380..16368400__16368380..16368476_minus_mature	45.00	read86722_x22__NC_057803.1_55__16368380..16368400__16368380..16368476_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057804.1_21__562353047..562353067__562352972..562353067_plus_mature	45.00	read86722_x22__NC_057804.1_21__562353047..562353067__562352972..562353067_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057805.1_19__450392780..450392800__450392711..450392800_plus_mature	45.00	read86722_x22__NC_057805.1_19__450392780..450392800__450392711..450392800_plus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057806.1_35__579923559..579923579__579923559..579923630_minus_mature	45.00	read86722_x22__NC_057806.1_35__579923559..579923579__579923559..579923630_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057807.1_38__566228440..566228460__566228440..566228515_minus_mature	45.00	read86722_x22__NC_057807.1_38__566228440..566228460__566228440..566228515_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057808.1_45__461763245..461763265__461763245..461763320_minus_mature	45.00	read86722_x22__NC_057808.1_45__461763245..461763265__461763245..461763320_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read86722_x22__NC_057809.1_24__563503013..563503033__563502931..563503033_plus_mature	3.00	read86722_x22__NC_057809.1_24__563503013..563503033__563502931..563503033_plus	3.00	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5671.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read86722_x22__NC_057810.1_31__638235812..638235832__638235712..638235832_plus_mature	3.00	read86722_x22__NC_057810.1_31__638235812..638235832__638235712..638235832_plus	3.00	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5671.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read86722_x22__NC_057811.1_22__439685224..439685244__439685126..439685244_plus_mature	3.00	read86722_x22__NC_057811.1_22__439685224..439685244__439685126..439685244_plus	3.00	0	0	0	0	0	0	3.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5671.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
read86722_x22__NC_057814.1_27__497236861..497236881__497236861..497237014_minus_mature	45.00	read86722_x22__NC_057814.1_27__497236861..497236881__497236861..497237014_minus	45.00	6.00	0	0	0	5.00	0	3.00	0	1.00	0	0	7.00	6.00	2.00	4.00	0	0	5.00	0	0	0	0	0	1.00	0	0	0	0	0	0	3.00	0	0	0	0	2.00	1958.22	0	0	0	3671.07	0	5671.08	0	2004.01	0	0	4263.09	9819.97	1693.48	2838.89	0	0	4149.38	0	0	0	0	0	1890.36	0	0	0	0	0	0	887.84	0	0	0	0	3344.48
read96286_x20__NC_057809.1_2__56670205..56670225__56670205..56670272_plus_mature	42.00	read96286_x20__NC_057809.1_2__56670205..56670225__56670205..56670272_plus	42.00	3.00	0	3.00	1.00	3.00	2.00	0	0	1.00	1.00	1.00	10.00	0	2.00	3.00	0	2.00	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	1.00	979.11	0	3754.69	498.50	2202.64	3154.57	0	0	2004.01	1540.83	1490.31	6090.13	0	1693.48	2129.17	0	3350.08	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	1183.78	0	0	0	0	1672.24
read96286_x20__NC_057810.1_49__109033164..109033184__109033117..109033184_minus_mature	42.00	read96286_x20__NC_057810.1_49__109033164..109033184__109033117..109033184_minus	42.00	3.00	0	3.00	1.00	3.00	2.00	0	0	1.00	1.00	1.00	10.00	0	2.00	3.00	0	2.00	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	1.00	979.11	0	3754.69	498.50	2202.64	3154.57	0	0	2004.01	1540.83	1490.31	6090.13	0	1693.48	2129.17	0	3350.08	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	1183.78	0	0	0	0	1672.24
read96286_x20__NC_057811.1_2__64801448..64801468__64801448..64801515_plus_mature	42.00	read96286_x20__NC_057811.1_2__64801448..64801468__64801448..64801515_plus	42.00	3.00	0	3.00	1.00	3.00	2.00	0	0	1.00	1.00	1.00	10.00	0	2.00	3.00	0	2.00	3.00	0	0	2.00	0	0	0	0	0	0	0	0	0	4.00	0	0	0	0	1.00	979.11	0	3754.69	498.50	2202.64	3154.57	0	0	2004.01	1540.83	1490.31	6090.13	0	1693.48	2129.17	0	3350.08	2489.63	0	0	726.22	0	0	0	0	0	0	0	0	0	1183.78	0	0	0	0	1672.24
